Feature,Importance
total_day_minutes,0.14359462256984667
total_day_charge,0.1368311061792552
customer_service_calls,0.10584876845959419
international_plan,0.09657978746894169
total_eve_charge,0.07563978215321131
total_eve_minutes,0.06342488209350312
total_intl_calls,0.051313872821137335
total_intl_charge,0.04824735563663889
total_intl_minutes,0.04378453474866415
total_night_charge,0.03634505006090893
total_night_minutes,0.03475623353757393
total_day_calls,0.029867747728616757
account_length,0.02932769910067783
total_night_calls,0.028965284289840573
number_vmail_messages,0.026090532792569607
total_eve_calls,0.024985869105094767
voice_mail_plan,0.019276951931317284
area_code,0.005119919322607672
